ID for Agents,,English text,,Welsh text
app.name=,*,Agent services account,*,Cyfrif gwasanaethau asiant
servicename.titleSuffix=,*,#NAME?,*,–  Cyfrif gwasanaethau asiant – GOV.UK
agent.services.account.heading=,*,Welcome to your agent services account,*,Croeso i’ch cyfrif gwasanaethau asiant
existing.client.relationships.link=,*,Access existing client relationships,*,Mynediad at berthnasoedd presennol â chleientiaid
,*,,*,
serviceinfo.home=,*,Account home,*,Hafan y cyfrif
serviceinfo.manage=,*,Manage account,*,Rheoli’r cyfrif
serviceinfo.signout=,*,Sign out,*,Allgofnodi
,*,,*,
agent.services.account.inset=,*,You cannot view your client lists in your agent services account. You can use your account to view and manage an individual client's VAT details.,*,Ni allwch fwrw golwg dros eich rhestrau o gleientiaid drwy’ch cyfrif gwasanaethau asiant. Gallwch ddefnyddio’ch cyfrif i fwrw golwg dros fanylion TAW  cleient unigol a’u rheoli.
agent.services.account.section1.h2=,*,Making Tax Digital for VAT,*,Troi Treth yn Ddigidol ar gyfer TAW
agent.services.account.section1.col1.h3=,*,Sign clients up for Making Tax Digital for VAT,*,Cofrestru cleientiaid ar gyfer y cynllun Troi Treth yn Ddigidol ar gyfer TAW
agent.services.account.section1.col1.p=,*,You copied across existing client authorisations to your agent services account. This means you can now sign these clients up to Making Tax Digital.,*,Rydych wedi copïo awdurdodiadau cleientiaid presennol ar draws i’ch cyfrif gwasanaethau asiant. Mae hyn yn golygu y gallwch nawr gofrestru’r cleientiaid hyn ar gyfer Troi Treth yn Ddigidol.
agent.services.account.section1.col1.link=,*,Sign clients up for Making Tax Digital for VAT (opens in a new window or tab),*,Cofrestru cleientiaid ar gyfer Troi Treth yn Ddigidol ar gyfer TAW (yn agor ffenestr neu dab newydd)
agent.services.account.section1.col2.h3=,*,Manage your client''s VAT details,*,Rheoli manylion TAW eich cleient
agent.services.account.section1.col2.p=,*,"Use this service to update your client's VAT registration status, business name (if they are a limited company), principal place of business and VAT stagger.",*,"Defnyddiwch y gwasanaeth hwn i ddiweddaru statws cofrestru TAW, enw busnes (os yw’n gwmni cyfyngedig), prif leoliad busnes a chyfnodau TAW eich cleient."
agent.services.account.section1.col2.link=,*,Manage your client''s VAT details (opens in a new window or tab),*,Rheoli manylion TAW eich cleient (yn agor ffenestr neu dab newydd)
,*,,*,
agent.services.account.section2.h2=,*,View a client''s PAYE income record,*,Bwrw golwg dros gofnod incwm TWE cleient
